,company,type,rating,reviewers,age,highly_ratedFOR,critically_ratedFOR
4764,CIMS Hospital,Healthcare ,4.0,157 Reviews,14 years old,"Company Culture, Work Life Balance, Skill Development / Learning",Salary & Benefits
4765,AABSyS IT,IT Services & Consulting ,3.7,157 Reviews,26 years old,Job Security,"Promotions / Appraisal, Salary & Benefits"
4766,Anchor Health and Beauty Care,Beauty & Personal Care ,3.7,157 Reviews,32 years old,"Salary & Benefits, Work Life Balance","Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
4767,Cholamandalam MS Risk Services,Management Consulting ,3.7,157 Reviews,30 years old,Promotions / Appraisal,
4768,TRIGO Group,Auto Components ,2.8,157 Reviews,27 years old,"Promotions / Appraisal, Salary & Benefits, Job Security",
4769,Kapil Chit Funds,FinTech ,3.9,157 Reviews,43 years old,"Job Security, Promotions / Appraisal",
4770,Igarashi Motors,Auto Components ,4.1,157 Reviews,32 years old,"Skill Development / Learning, Job Security, Work Satisfaction","Promotions / Appraisal, Salary & Benefits"
4771,SPIE Oil & Gas Services,Oil & Gas ,4.1,157 Reviews,20 years old,"Work Life Balance, Work Satisfaction, Skill Development / Learning",Promotions / Appraisal
4772,L&T Infrastructure Engineering,Engineering & Construction ,4.0,157 Reviews,,"Skill Development / Learning, Job Security, Work Satisfaction",
4773,Jindal Worldwide,Fashion & Textile ,3.4,157 Reviews,38 years old,"Promotions / Appraisal, Salary & Benefits, Job Security",
4774,ACT Plast Paints,Chemicals ,4.0,157 Reviews,18 years old,Skill Development / Learning,
4775,Jubilant Industries,Chemicals / Agri Inputs ,3.8,157 Reviews,17 years old,"Skill Development / Learning, Job Security, Salary & Benefits",
4776,Hi-Tech,Education & Training ,4.0,157 Reviews,20 years old,Company Culture,
4777,Epson,IT Services & Consulting ,4.3,157 Reviews,82 years old,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
4778,Crescent Foundry,Metals & Mining ,3.8,157 Reviews,42 years old,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",
4779,Neolite Zkw Lightings,Auto Components ,3.6,157 Reviews,72 years old,"Promotions / Appraisal, Work Satisfaction, Company Culture",
4780,Liugong India,Engineering & Construction ,3.5,157 Reviews,66 years old,"Company Culture, Work Satisfaction, Promotions / Appraisal",
4781,Qualsquad Infotech,IT Services & Consulting ,3.3,157 Reviews,9 years old,"Promotions / Appraisal, Job Security, Skill Development / Learning",
