author,published_at,updated_at,like_count,text
@enzovillanueva6224,2021-12-19T13:13:57Z,2021-12-19T13:13:57Z,0,Lol my favorite itachi I guess most of tje comments section here likes itachi allot I mean who wouldnt like that guy at the first place
@janakiramyandapalli3319,2021-12-10T15:20:42Z,2021-12-10T15:20:42Z,1,What the fuk The one who started the story was 4th from the bottom How come Useless Sakura  God Madara Why the God of shinobi is not even in the list
@HungPham-qy9tc,2021-12-09T04:38:15Z,2021-12-09T04:38:15Z,1,I like sasuke
@Amelia-jt6jy,2021-12-08T21:57:16Z,2021-12-08T21:57:16Z,1,Sakura is at top because shes searched a lot not because shes liked Ive searched her name a tonne just to mock her LMAO
@itachisusanoo3689,2021-12-05T00:06:01Z,2021-12-05T00:06:01Z,1,Kurama and Tsunade and partially Sakura are because of other shows Im quite sure
@speedgamer3772,2021-12-02T14:08:24Z,2021-12-02T14:08:35Z,0,I came and just wait for the king to get his crown on the top  guess who 
@abunirmal2535,2021-11-29T05:32:43Z,2021-11-29T05:32:43Z,2,Itachi is a legend
@hxrikxrthi873,2021-11-28T07:16:46Z,2021-11-28T07:16:46Z,0,
@GauravKumar-ee8ew,2021-11-25T12:45:50Z,2021-11-25T12:45:50Z,0,Peole like sakura 
@felix5981,2021-11-25T11:37:51Z,2021-11-25T11:37:51Z,2,Lmfao I just knew Itachi would be first My boi
@sooya7623,2021-11-24T15:26:14Z,2021-11-24T15:26:14Z,1,Sakura being popular than naruto 
@reshmamr8876,2021-11-24T14:10:33Z,2021-11-24T14:10:33Z,0,Sasuke throughout in top 3 position 
@MrBelinda115,2021-11-20T11:59:53Z,2021-11-20T11:59:53Z,0,Wheres sai tho
@psychochizzi4218,2021-11-19T15:56:10Z,2021-11-19T15:56:10Z,1,Yahiko bruh  PAIN 
@elisabetecristina6188,2021-11-17T10:37:58Z,2021-11-17T10:37:58Z,0,Itachi is on top in the list and masashi kill him What a such idiot mangaka Im not wonder why naruto series as down now
@birajkarmakar4636,2021-11-13T04:26:07Z,2021-11-13T04:26:07Z,1,Bro Kakashi got the top place for so many times but you forgetI think its your imagenation
@khapangtripura8179,2021-11-07T06:46:58Z,2021-11-07T06:46:58Z,0,I am confused who is wiener
@konoduoda4356,2021-11-07T01:04:38Z,2021-11-07T01:05:05Z,0,WHERE THE HELL IS RAMEN GUYEVERYONE LIKE HIM
@goku__dxd___,2021-11-05T05:44:22Z,2021-11-05T05:44:22Z,0,Its literally fake
@tv_editzz,2021-10-28T05:44:50Z,2021-10-28T05:44:50Z,0,YEAHHHH MY KING ENDED IN No1
@Man0jKumar,2021-10-27T06:51:40Z,2021-10-27T06:51:40Z,0,Uchihaswepopularity
