"addressCity","addressState","price","statusType","statusText"
"Van Nuys","CA","$924,999","FOR_SALE","House for sale"
"Porter Ranch","CA","$1,630,000","FOR_SALE","House for sale"
"Pacific Palisades","CA","$1,478,000","FOR_SALE","Townhouse for sale"
"Woodland Hills","CA","$2,775,000","FOR_SALE","House for sale"
"Los Angeles","CA","$1,099,000","FOR_SALE","Condo for sale"
"Los Angeles","CA","$4,550,000","FOR_SALE","House for sale"
"Canoga Park","CA","$379,000","FOR_SALE","Condo for sale"
"Los Angeles","CA","$55.0M","FOR_SALE","Auction"
"Panorama City","CA","$599,000","FOR_SALE","Townhouse for sale"
"Tarzana","CA","$2,000,000","FOR_SALE","House for sale"
"North Hollywood","CA","$1,189,000","FOR_SALE","House for sale"
"North Hollywood","CA","$699,000","FOR_SALE","Townhouse for sale"
"North Hollywood","CA","$2,185,000","FOR_SALE","House for sale"
"Studio City","CA","$1,795,000","FOR_SALE","House for sale"
"Los Angeles","CA","$2,399,999","FOR_SALE","Condo for sale"
"Los Angeles","CA","$949,999","FOR_SALE","House for sale"
"Los Angeles","CA","$1,200,000","FOR_SALE","Multi-family home for sale"
"Los Angeles","CA","$550,000","FOR_SALE","Condo for sale"
"Los Angeles","CA","$650,000","FOR_SALE","House for sale"
"Los Angeles","CA","$1,999,000","FOR_SALE","House for sale"
"Los Angeles","CA","$1,050,900","FOR_SALE","House for sale"
"Los Angeles","CA","$3,300,000","FOR_SALE","House for sale"
"Studio City","CA","$1,099,000","FOR_SALE","Townhouse for sale"
"Los Angeles","CA","$850,000","FOR_SALE","House for sale"
"Los Angeles","CA","$750,000","FOR_SALE","Condo for sale"
"Los Angeles","CA","$625,000","FOR_SALE","Condo for sale"
"Los Angeles","CA","$1,159,000","FOR_SALE","New construction"
"Los Angeles","CA","$1,149,000","FOR_SALE","Multi-family home for sale"
"Los Angeles","CA","$15,995,000","FOR_SALE","House for sale"
"Sun Valley","CA","$699,995","FOR_SALE","House for sale"
"Los Angeles","CA","$4,700,000","FOR_SALE","House for sale"
"Los Angeles","CA","$875,000","FOR_SALE","House for sale"
"Los Angeles","CA","$2,895,000","FOR_SALE","House for sale"
"Los Angeles","CA","$2,850,000","FOR_SALE","House for sale"
"Venice","CA","$5,900,000","FOR_SALE","House for sale"
"Venice","CA","$2,945,000","FOR_SALE","House for sale"
"Venice","CA","$3,350,000","FOR_SALE","House for sale"
"Venice","CA","$7,500,000","FOR_SALE","House for sale"
"Los Angeles","CA","$4,050,000","FOR_SALE","Multi-family home for sale"
"Los Angeles","CA","$2,400,000","FOR_SALE","New construction"
"Los Angeles","CA","$2,100,000","FOR_SALE","New construction"
"Los Angeles","CA","$1,850,000","FOR_SALE","New construction"
"Venice","CA","$3,399,000","FOR_SALE","Foreclosure"
"Venice","CA","$7,495,000","FOR_SALE","House for sale"
"Los Angeles","CA","$6,800,000","FOR_SALE","New construction"
"Venice","CA","$3,850,000","FOR_SALE","House for sale"
"Venice","CA","$3,100,000","FOR_SALE","Multi-family home for sale"
"Venice","CA","$2,425,000","FOR_SALE","House for sale"
"Los Angeles","CA","$3,999,999","FOR_SALE","Multi-family home for sale"
"Venice","CA","$3,899,000","FOR_SALE","House for sale"
"Venice","CA","$3,575,000","FOR_SALE","House for sale"
"Venice","CA","$798,000","FOR_SALE","Condo for sale"
"Los Angeles","CA","$2,290,000","FOR_SALE","Multi-family home for sale"
"Venice","CA","$9,875,000","FOR_SALE","House for sale"
"Los Angeles","CA","$2,349,000","FOR_SALE","New construction"
"Playa Del Rey","CA","$495,000","FOR_SALE","Condo for sale"
"Los Angeles","CA","$1,790,000","FOR_SALE","Multi-family home for sale"
"Venice","CA","$2,600,000","FOR_SALE","Multi-family home for sale"
"Venice","CA","$2,899,000","FOR_SALE","Multi-family home for sale"
"Venice","CA","$1,950,000","FOR_SALE","Multi-family home for sale"
"Los Angeles","CA","$2,349,000","FOR_SALE","House for sale"
"Venice","CA","$1,875,000","FOR_SALE","Multi-family home for sale"
"Venice","CA","$1,875,000","FOR_SALE","Multi-family home for sale"
"Venice","CA","$2,500,000","FOR_SALE","Multi-family home for sale"
"Venice","CA","$4,190,000","FOR_SALE","House for sale"
"Los Angeles","CA","$1,650,000","FOR_SALE","House for sale"
"Venice","CA","$6,570,000","FOR_SALE","House for sale"
"Venice","CA","$1,595,000","FOR_SALE","House for sale"
"Marina Del Rey","CA","$1,195,000","FOR_SALE","Condo for sale"
"Venice","CA","$9,000,000","FOR_SALE","House for sale"
"Venice","CA","$2,345,000","FOR_SALE","House for sale"
"Los Angeles","CA","$1,699,000","FOR_SALE","House for sale"
"Los Angeles","CA","$1,850,000","FOR_SALE","House for sale"
"Los Angeles","CA","$2,495,000","FOR_SALE","Multi-family home for sale"
"Los Angeles","CA","$5,995,000","FOR_SALE","House for sale"
"Playa Del Rey","CA","$705,000","FOR_SALE","Condo for sale"
"Playa Del Rey","CA","$2,385,000","FOR_SALE","Townhouse for sale"
"Venice","CA","$1,900,000","FOR_SALE","Multi-family home for sale"
"Venice","CA","$1,525,000","FOR_SALE","House for sale"
"Marina Del Rey","CA","$3,299,000","FOR_SALE","Condo for sale"
"Venice","CA","$5,149,000","FOR_SALE","House for sale"
"Venice","CA","$1,995,000","FOR_SALE","Multi-family home for sale"
"Venice","CA","$8,895,000","FOR_SALE","House for sale"
"Los Angeles","CA","$3,995,000","FOR_SALE","House for sale"
"Venice","CA","$2,650,000","FOR_SALE","House for sale"
"Los Angeles","CA","$2,595,000","FOR_SALE","House for sale"
"Marina Del Rey","CA","$1,300,000","FOR_SALE","Townhouse for sale"
"Los Angeles","CA","$1,399,999","FOR_SALE","House for sale"
"Los Angeles","CA","$3,695,000","FOR_SALE","House for sale"
"Marina Del Rey","CA","$3,195,000","FOR_SALE","House for sale"
"Marina Del Rey","CA","$999,000","FOR_SALE","Condo for sale"
"Marina Del Rey","CA","$2,299,888","FOR_SALE","House for sale"
"Venice","CA","$3,600,000","FOR_SALE","New construction"
"Venice","CA","$1,899,000","FOR_SALE","House for sale"
"Los Angeles","CA","$4,995,000","FOR_SALE","New construction"
"Los Angeles","CA","$1,795,000","FOR_SALE","New construction"
"Los Angeles","CA","$1,999,000","FOR_SALE","Multi-family home for sale"
"Venice","CA","$1,975,000","FOR_SALE","House for sale"
"Marina Del Rey","CA","$1,400,000","FOR_SALE","Condo for sale"
"Venice","CA","$1,975,000","FOR_SALE","Multi-family home for sale"
"Playa Del Rey","CA","$1,750,000","FOR_SALE","House for sale"
"Playa Del Rey","CA","$637,000","FOR_SALE","Condo for sale"
"Marina Del Rey","CA","$1,475,000","FOR_SALE","Townhouse for sale"
"Venice","CA","$999,000","FOR_SALE","Condo for sale"
"Playa Vista","CA","$3,698,000","FOR_SALE","House for sale"
"Marina Del Rey","CA","$940,000","FOR_SALE","Condo for sale"
"Venice","CA","$1,995,000","FOR_SALE","Condo for sale"
"Los Angeles","CA","$1,000,000","FOR_SALE","Multi-family home for sale"
"Los Angeles","CA","$699,000","FOR_SALE","House for sale"
"Wilmington","CA","$569,000","FOR_SALE","Condo for sale"
"Wilmington","CA","$420,000","FOR_SALE","Condo for sale"
"San Pedro","CA","$849,000","FOR_SALE","House for sale"
"San Pedro","CA","$1,075,000","FOR_SALE","House for sale"
"Los Angeles","CA","$600,000","FOR_SALE","House for sale"
